instrument_code,mission_name,instrument_name,before_description,llm_description
spase://SMWG/Instrument/Ground/Pangnirtung/Magnetometer,Pangnirtung Geophysical Observatory,Magnetometer,Pangnirtung Magnetometer,Pangnirtung Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Pevek/Magnetometer,Pevek Geophysical Observatory,Magnetometer,Pevek Magnetometer,Pevek Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Pueblo/Magnetometer,Pueblo Geophysical Observatory,Magnetometer,Pueblo Magnetometer,Pueblo Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Purcell/Magnetometer,Purcell Geophysical Observatory,Magnetometer,Purcell Magnetometer,Purcell Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Pello/Magnetometer,Pello Geophysical Observatory,Magnetometer,Pello Magnetometer,Pello Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/PENGUIn.0/Magnetometer,PENGUIn-0 Geophysical Observatory,Magnetometer,PENGUIn-0 Magnetometer,PENGUIn-0 Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/PENGUIn.1/Magnetometer,PENGUIn,Magnetometer,PENGUIn-1 Magnetometer,PENGUIn-1 geophysical observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/PENGUIn.2/Magnetometer,PENGUIn,Magnetometer,PENGUIn-2 Magnetometer,PENGUIn-2 geophysical observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/PENGUIn.3/Magnetometer,PENGUIn-3 Geophysical Observatory,Magnetometer,PENGUIn-3 Magnetometer,PENGUIn-3 Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/PENGUIn.4/Magnetometer,PENGUIn-4 Geophysical Observatory,Magnetometer,PENGUIn-4 Magnetometer,PENGUIn-4 Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/PENGUIn.5/Magnetometer,PENGUIn,Magnetometer,PENGUIn-5 Magnetometer,PENGUIn-5 geophysical observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Prince.George/Magnetometer,Prince George Geophysical Observatory,Magnetometer,Prince George Magnetometer,Prince George Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Pine.Ridge/Magnetometer,Pine Ridge Geophysical Observatory,Magnetometer,Pine Ridge Magnetometer,Pine Ridge Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Park.Site/Magnetometer,Park Site Geophysical Observatory,Magnetometer,Park Site Magnetometer,Park Site Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Poker.Flat/Magnetometer,IAGA,Magnetometer,Poker Flat Magnetometer,Poker Flat IAGA ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Petersburg/Magnetometer,Petersburg Geophysical Observatory,Magnetometer,Petersburg Magnetometer,Petersburg Geophysical Observatory ground-based magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Puvirnituq/Magnetometer,Puvirnituq Geophysical Observatory,Magnetometer,Puvirnituq Magnetometer,Puvirnituq Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Radisson/Magnetometer,Radisson Geophysical Observatory,Magnetometer,Radisson Magnetometer,Radisson Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Ranua/Magnetometer,Ranua Geophysical Observatory,Magnetometer,Ranua Magnetometer,Ranua Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Rankin.Inlet/Magnetometer,IAGA,Magnetometer,Rankin Inlet Magnetometer,IAGA Rankin Inlet (RIT) ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Repulse.Bay/Magnetometer,Repulse Bay Geophysical Observatory,Magnetometer,Repulse Bay Magnetometer,Repulse Bay Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Red.Deer/Magnetometer,Red Deer Geophysical Observatory,Magnetometer,Red Deer Magnetometer,Red Deer Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Richardson/Magnetometer,Richardson Geophysical Observatory,Magnetometer,Richardson Magnetometer,Richardson Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Remus/Magnetometer,Remus Geophysical Observatory,Magnetometer,Remus Magnetometer,Remus Geophysical Observatory magnetometer measuring geomagnetic field vectors
spase://SMWG/Instrument/Ground/Roemoe/Magnetometer,Roemoe,Magnetometer,Roemoe Magnetometer,Roemoe geophysical observatory magnetometer measuring local geomagnetic field variations
spase://SMWG/Instrument/Ground/Priddis/Magnetometer,Priddis Geophysical Observatory,Magnetometer,Priddis Magnetometer,Priddis Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Rorvik/Magnetometer,Rorvik Geophysical Observatory,Magnetometer,Rorvik Magnetometer,Rorvik Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Salluit/Magnetometer,Salluit Geophysical Observatory,Magnetometer,Salluit Magnetometer,Salluit Geophysical Observatory fluxgate magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/San.Antonio/Magnetometer,San Antonio Geophysical Observatory,Magnetometer,San Antonio Magnetometer,San Antonio Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Schefferville/Magnetometer,Schefferville Geophysical Observatory,Magnetometer,Schefferville Magnetometer,Schefferville Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Ittoqqortoormiit/Magnetometer,Ittoqqortoormiit Geophysical Observatory,Magnetometer,Ittoqqortoormiit Magnetometer,Ittoqqortoormiit Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Sept.Iles/Magnetometer,Sept Iles Geophysical Observatory,Magnetometer,Sept Iles Magnetometer,Sept Iles Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Shumagin/Magnetometer,IAGA,Magnetometer,Shumagin Magnetometer,Shumagin IAGA ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Sitka/Magnetometer,IAGA,Magnetometer,Sitka Magnetometer,IAGA Sitka ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/WDC/San.Juan/Magnetometer,WDC,Magnetometer,The San Juan Fluxgate Magnetometer Instrument.,San Juan WDC fluxgate magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Maniitsoq/Magnetometer,Maniitsoq Geophysical Observatory,Magnetometer,Maniitsoq Magnetometer,Maniitsoq Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Snap.Lake/Magnetometer,Snap Lake Geophysical Observatory,Magnetometer,Snap Lake Magnetometer,Snap Lake Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Sanikiluaq/Magnetometer,Sanikiluaq Geophysical Observatory,Magnetometer,Sanikiluaq Magnetometer,Sanikiluaq Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Solund/Magnetometer,Solund Geophysical Observatory,Magnetometer,Solund Magnetometer,Solund Geophysical Observatory ground-based magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Soroya/Magnetometer,Soroya Geophysical Observatory,Magnetometer,Soroya Magnetometer,Soroya Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Kangerlussuaq/Magnetometer,Kangerlussuaq Geophysical Observatory,Magnetometer,Kangerlussuaq Magnetometer,Kangerlussuaq Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Stanford/Magnetometer,Stanford Geophysical Observatory,Magnetometer,Stanford Magnetometer,Stanford Geophysical Observatory fluxgate magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Saint.Felicien/Magnetometer,Saint-Felicien Geophysical Observatory,Magnetometer,Saint-Felicien Magnetometer,Saint-Felicien Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/St.Johns/Magnetometer,IAGA,Magnetometer,St. John's Magnetometer,St. John's IAGA ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Summit/Magnetometer,Summit Geophysical Observatory,Magnetometer,Summit Magnetometer,Summit Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Savissivik/Magnetometer,Savissivik Geophysical Observatory,Magnetometer,Savissivik Magnetometer,Savissivik Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Shawano/Magnetometer,Shawano Geophysical Observatory,Magnetometer,Shawano Magnetometer,Shawano Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Tartu/Magnetometer,Tartu Geophysical Observatory,Magnetometer,Tartu Magnetometer,Tartu Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Tristan.da.Cunha/Magnetometer,Tristan Da Cunha Geophysical Observatory,Magnetometer,Tristan Da Cunha Magnetometer,Tristan da Cunha Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Qaanaaq/Magnetometer,Qaanaaq Geophysical Observatory,Magnetometer,Qaanaaq Magnetometer,Qaanaaq Geophysical Observatory fluxgate magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Tiksi/Magnetometer,Tiksi Geophysical Observatory,Magnetometer,Tiksi Magnetometer,Tiksi Geophysical Observatory fluxgate magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Toolik.Lake/Magnetometer,Toolik Lake Geophysical Observatory,Magnetometer,Toolik Lake Magnetometer,Toolik Lake Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/The.Pas/Magnetometer,The Pas,Magnetometer,The Pas Magnetometer,The Pas ground-based magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Trapper.Creek/Magnetometer,Trapper Creek Geophysical Observatory,Magnetometer,Trapper Creek Magnetometer,Trapper Creek Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Tromso/Magnetometer,IAGA,Magnetometer,Tromso Magnetometer,Tromsø ground-based magnetometer measuring geomagnetic field variations at the IAGA TRO station
spase://SMWG/Instrument/Ground/Tucson/Magnetometer,IAGA,Magnetometer,Tucson Magnetometer,IAGA Tucson ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Ukiah/Magnetometer,Ukiah Geophysical Observatory,Magnetometer,Ukiah Magnetometer,Ukiah Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Uummannaq/Magnetometer,Uummannaq Geophysical Observatory,Magnetometer,Uummannaq Magnetometer,Uummannaq Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Upernavik/Magnetometer,Upernavik Geophysical Observatory,Magnetometer,Upernavik Magnetometer,Upernavik Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Victoria/Magnetometer,IAGA,Magnetometer,Victoria Magnetometer,IAGA Victoria ground magnetometer measuring geomagnetic field variations at VIC
spase://SMWG/Instrument/Ground/Vize.Island/Magnetometer,Vize Island Geophysical Observatory,Magnetometer,Vize Island Magnetometer,Vize Island Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Val.d.Or/Magnetometer,Val-d'Or Geophysical Observatory,Magnetometer,Val-d'Or Magnetometer,Val-d'Or Geophysical Observatory magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Whitehorse/Magnetometer,Whitehorse Geophysical Observatory,Magnetometer,Whitehorse Magnetometer,Whitehorse Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Wallops.Island/Magnetometer,Wallops Island Geophysical Observatory,Magnetometer,Wallops Island Magnetometer,Wallops Island Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Worthington/Magnetometer,Worthington Geophysical Observatory,Magnetometer,Worthington Magnetometer,Worthington Geophysical Observatory ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/Ground/Yellowknife/Magnetometer,IAGA,Magnetometer,Yellowknife Magnetometer,IAGA Yellowknife (YKC) ground magnetometer measuring geomagnetic field variations
spase://SMWG/Instrument/TIMED/GUVI,TIMED,GUVI,Global Ultraviolet Imager (GUVI),TIMED GUVI far-ultraviolet scanning imaging spectrograph measuring thermospheric and ionospheric composition and auroral emissions
spase://SMWG/Instrument/TIMED/SABER,TIMED,SABER,Sounding of the Atmosphere using Broadband Emission Radiometry (SABER),TIMED SABER infrared limb-sounding radiometer measuring atmospheric temperature and composition profiles from broadband emission radiometry
spase://SMWG/Instrument/TIMED/SEE,TIMED,SEE,Solar EUV Experiment (SEE),TIMED SEE solar EUV spectrometer and photometers measuring full-disk solar irradiance from 0.1 to 200 nm
spase://SMWG/Instrument/TIMED/TIDI,TIMED,TIDI,TIMED Doppler Interferometer (TIDI),TIMED TIDI Doppler interferometer measuring mesosphere and lower thermosphere neutral winds and temperatures
spase://SMWG/Instrument/TWINS1/Ephemeris,TWINS 1,Ephemeris,TWINS 1 Positions,TWINS-1 ephemeris providing spacecraft position and trajectory information
spase://SMWG/Instrument/TWINS1/ENA,TWINS 1,ENA,TWINS-1 Energetic Neutral Atom (ENA) Imager,TWINS-1 ENA energetic neutral atom imager mapping magnetospheric ring current and plasma sheet populations
spase://SMWG/Instrument/TWINS1/LAD,TWINS 1,LAD,"TWINS1, Lyman-alpha Detector, LAD",TWINS-1 LAD Lyman-alpha imager measuring neutral hydrogen emission
spase://SMWG/Instrument/TWINS2/ENA,TWINS 2,ENA,TWINS-2 Energetic Neutral Atom (ENA) Imager,TWINS-2 ENA imager measuring energetic neutral atom emissions from the terrestrial magnetosphere
spase://SMWG/Instrument/TWINS2/LAD,TWINS 2,LAD,"TWINS2, Lyman-alpha Detector, LAD",TWINS-2 LAD Lyman-alpha imager measuring neutral hydrogen emission
spase://SMWG/Instrument/TWINS2/Ephemeris,TWINS 2,Ephemeris,TWINS 2 Positions,TWINS 2 spacecraft ephemeris providing spacecraft position and trajectory information
spase://SMWG/Instrument/Ulysses/Ephemeris,Ulysses,Ephemeris,Ulysses Positions,Ulysses spacecraft ephemeris providing spacecraft position and trajectory information
spase://SMWG/Instrument/Ulysses/FGM,Ulysses,FGM,Magnetic Field (HED/VHM/FGM),Ulysses FGM fluxgate magnetometer measuring interplanetary magnetic field vectors in the heliosphere
spase://SMWG/Instrument/Ulysses/SWOOPS,Ulysses,SWOOPS,Solar Wind Plasma (BAM/SWOOPS),"Ulysses SWOOPS electrostatic plasma analyzer measuring solar wind ion and electron distributions, densities, temperatures, and bulk flow parameters"
spase://SMWG/Instrument/Ulysses/SWICS,Ulysses,SWICS,Solar Wind Ion Composition Spectrometer (GLG/SWICS),"Ulysses SWICS solar wind ion composition spectrometer measuring elemental and charge-state composition, temperatures, and bulk speeds of solar wind ions"
spase://SMWG/Instrument/Ulysses/COSPIN/AT,Ulysses,AT,Cosmic Ray and Solar Particles (SIM/COSPIN),Ulysses COSPIN/AT anisotropy telescopes measuring 0.7–7 MeV nucleon^-1 proton and helium energetic particle anisotropies
spase://SMWG/Instrument/Ulysses/COSPIN/HET,Ulysses,HET,Cosmic Ray and Solar Particles (SIM/COSPIN),Ulysses COSPIN/HET energetic particle telescope measuring high-flux suprathermal and energetic protons and helium nuclei
spase://SMWG/Instrument/Ulysses/COSPIN/HFT,Ulysses,HFT,Cosmic Ray and Solar Particles (SIM/COSPIN),Ulysses COSPIN/HFT energetic particle telescope measuring high-flux ~0.3–7 MeV protons and 0.4–4 MeV/n helium ions
spase://SMWG/Instrument/Ulysses/COSPIN/KET,Ulysses,KET,Cosmic Ray and Solar Particles (SIM/COSPIN),Ulysses COSPIN/KET energetic particle telescope measuring relativistic electrons and high-energy protons and helium nuclei
spase://SMWG/Instrument/Ulysses/COSPIN/LET,Ulysses,LET,Cosmic Ray and Solar Particles (SIM/COSPIN),"Ulysses COSPIN/LET low-energy particle telescope measuring ~1–20 MeV nucleons of protons, helium, and heavier ions"
spase://SMWG/Instrument/Ulysses/URAP,Ulysses,URAP,Unified Radio and Plasma Waves (STO/URAP),Ulysses URAP radio and plasma wave antenna experiment measuring DC to 1 MHz electric fields and solar/Jovian radio emissions
spase://SMWG/Instrument/Ulysses/EPAC,Ulysses,EPAC,Ulysses Energetic Particle Composition (EPAC) Experiment,"Ulysses EPAC energetic particle composition telescope measuring suprathermal and energetic ion composition, spectra, and angular distributions"
spase://SMWG/Instrument/Ulysses/HISCALE,Ulysses,HISCALE,"Heliosphere Instrument for Spectra, Composition and Anisotropy at Low Energies","Ulysses HISCALE energetic particle instrument measuring low-energy ion and electron spectra, composition, and anisotropy"
spase://SMWG/Instrument/Voyager1/PWS,Voyager Spacecraft,PWS,Plasma Wave System (PWS),Voyager Plasma Wave System (PWS) waveform receiver measuring plasma waves and electron density profiles
spase://SMWG/Instrument/Voyager2/PWS,Voyager 2,PWS,Plasma Wave System (PWS),Voyager 2 PWS plasma wave receiver measuring electric field wave spectra and electron density in planetary magnetospheres
spase://SMWG/Instrument/Voyager1/LECP,Voyager Spacecraft,LECP,Low-Energy Charged Particles (LECP),Voyager LECP low-energy charged particle detector measuring energetic ions and electrons in planetary and interplanetary space
spase://SMWG/Instrument/Voyager2/LECP,Voyager 2,LECP,Low-Energy Charged Particles (LECP),Voyager 2 LECP energetic particle detector measuring low-energy charged particle intensities and angular distributions
spase://SMWG/Instrument/Voyager1/MAG,Voyager Spacecraft,MAG,Triaxial Fluxgate Magnetometer (MAG),Voyager MAG triaxial fluxgate magnetometer measuring interplanetary and planetary magnetic field vectors
spase://SMWG/Instrument/Voyager1/Ephemeris,Voyager Spacecraft,Ephemeris,Voyager 1 Positions,Voyager 1 ephemeris providing spacecraft position and trajectory information
spase://SMWG/Instrument/Voyager1/PLS,Voyager Spacecraft,PLS,Plasma Spectrometer (PLS),"Voyager Plasma Science (PLS) Faraday cup plasma spectrometer measuring solar wind ion velocity, density, and pressure"
spase://SMWG/Instrument/Voyager1/CRS,Voyager Spacecraft,CRS,Cosmic Ray System (CRS),Voyager CRS cosmic ray telescope measuring energetic particle composition and spectra
spase://SMWG/Instrument/Voyager2/MAG,Voyager 2,MAG,Triaxial Fluxgate Magnetometer (MAG),Voyager 2 MAG triaxial fluxgate magnetometer measuring vector magnetic fields in planetary magnetospheres and the interplanetary medium
spase://SMWG/Instrument/Voyager2/PLS,Voyager 2,PLS,Plasma Spectrometer (PLS),"Voyager 2 PLS Faraday cup plasma spectrometer measuring solar wind ion velocity, density, and pressure"
spase://SMWG/Instrument/Wind/3DP,Wind,3DP,Wind Hot Plasma and Charged Particles (3DP),Wind 3DP electrostatic plasma analyzer measuring three-dimensional electron and ion distributions from solar wind to suprathermal energies
spase://SMWG/Instrument/Wind/EPACT,Wind,EPACT,"Energetic Particle Acceleration, Composition and Transport (EPACT)","Wind EPACT energetic particle instrument measuring suprathermal and energetic ions and electrons for particle acceleration, composition, and transport studies"
spase://SMWG/Instrument/Wind/WAVES,Wind,WAVES,Plasma and Radio Waves (WAVES),Wind WAVES plasma and radio wave receiver measuring electric field waveforms and radio emissions in the solar wind
spase://SMWG/Instrument/Wind/SMS/STICS,Wind,STICS,Solar Wind and Suprathermal Ion Composition Experiment (SMS),"Wind STICS suprathermal ion composition spectrometer measuring ion mass, mass-per-charge, and energy from 6 to 230 keV/e"
spase://SMWG/Instrument/Wind/SMS/SWICS,Wind,SWICS,Solar Wind and Suprathermal Ion Composition Experiment (SMS),"Wind SWICS ion composition spectrometer measuring solar wind and suprathermal ion mass, charge state, and energy per charge"
SJ,Chromospheric LAyer SpectroPolarimeter 2,CLASP2 Slit-Jaw,CLASP2 Slit-Jaw (SJ) of Chromospheric LAyer SpectroPolarimeter 2 (CLASP2),CLASP2 slit-jaw imager capturing context images of the solar chromosphere and photosphere
SP1,Chromospheric LAyer SpectroPolarimeter 2,CLASP2 Spectropolarimeter1,CLASP2 Spectropolarimeter1 (SP1) of Chromospheric LAyer SpectroPolarimeter 2 (CLASP2),CLASP2 Spectropolarimeter spectropolarimeter measuring solar chromospheric and transition-region polarization spectra
SP2,Chromospheric LAyer SpectroPolarimeter 2,CLASP2 Spectropolarimeter2,CLASP2 Spectropolarimeter2 (SP2) of Chromospheric LAyer SpectroPolarimeter 2 (CLASP2),CLASP2 spectropolarimeter measuring chromospheric UV polarization spectra on the Chromospheric LAyer SpectroPolarimeter 2 sounding rocket
ChroTel,ChroTel,ChroTel,ChroTel (ChroTel) of ChroTel (ChroTel),"ChroTel full-disk solar chromospheric telescope imaging the Sun in H-alpha, Ca II K, and He I 10830 Å"
LONGWAVE-LOBE-06,Extreme Ultraviolet Normal-incidence Spectrograph,Full longwave EUV observation of Sun with EUNIS (2006 flight),Full longwave EUV observation of Sun with EUNIS (2006 flight) (LONGWAVE-LOBE-06) of Extreme Ultraviolet Normal-incidence Spectrograph (EUNIS),EUNIS long-wavelength EUV imaging spectrograph measuring solar extreme-ultraviolet spectra on the Extreme Ultraviolet Normal-Incidence Spectrograph mission
LONGWAVE-LOBE-07,Extreme Ultraviolet Normal-incidence Spectrograph,Full longwave EUV observation of Sun with EUNIS (2007 flight),Full longwave EUV observation of Sun with EUNIS (2007 flight) (LONGWAVE-LOBE-07) of Extreme Ultraviolet Normal-incidence Spectrograph (EUNIS),EUNIS normal-incidence EUV spectrograph measuring full long-wavelength solar extreme-ultraviolet spectra
LONGWAVE-SLIT-06,Extreme Ultraviolet Normal-incidence Spectrograph,Full longwave EUV observation of Sun with EUNIS (trimmed/2006 flight),Full longwave EUV observation of Sun with EUNIS (trimmed/2006 flight) (LONGWAVE-SLIT-06) of Extreme Ultraviolet Normal-incidence Spectrograph (EUNIS),EUNIS long-wavelength EUV imaging spectrograph measuring solar extreme-ultraviolet emission lines and spectra
LONGWAVE-SLIT-07,Extreme Ultraviolet Normal-incidence Spectrograph,Full longwave EUV observation of Sun with EUNIS (trimmed/2007 flight),Full longwave EUV observation of Sun with EUNIS (trimmed/2007 flight) (LONGWAVE-SLIT-07) of Extreme Ultraviolet Normal-incidence Spectrograph (EUNIS),EUNIS full-longwave EUV normal-incidence spectrograph measuring solar extreme-ultraviolet spectra
SHORTWAVE-LOBE-06,Extreme Ultraviolet Normal-incidence Spectrograph,Shortwave EUV observation of Sun with EUNIS (2006 flight),Shortwave EUV observation of Sun with EUNIS (2006 flight) (SHORTWAVE-LOBE-06) of Extreme Ultraviolet Normal-incidence Spectrograph (EUNIS),EUNIS sounding-rocket EUV imaging spectrograph measuring solar short-wavelength extreme-ultraviolet emission lines
SHORTWAVE-LOBE-07,Extreme Ultraviolet Normal-incidence Spectrograph,Shortwave EUV observation of Sun with EUNIS (2007 flight),Shortwave EUV observation of Sun with EUNIS (2007 flight) (SHORTWAVE-LOBE-07) of Extreme Ultraviolet Normal-incidence Spectrograph (EUNIS),EUNIS sounding-rocket EUV imaging spectrograph measuring solar extreme-ultraviolet spectra and slit-jaw images of the Sun
SHORTWAVE-SLIT-06,Extreme Ultraviolet Normal-incidence Spectrograph,Shortwave EUV observation of Sun with EUNIS (trimmed/2006 flight),Shortwave EUV observation of Sun with EUNIS (trimmed/2006 flight) (SHORTWAVE-SLIT-06) of Extreme Ultraviolet Normal-incidence Spectrograph (EUNIS),EUNIS sounding-rocket EUV imaging spectrograph measuring solar short-wavelength extreme-ultraviolet emission lines and spectra
SHORTWAVE-SLIT-07,Extreme Ultraviolet Normal-incidence Spectrograph,Shortwave EUV observation of Sun with EUNIS (trimmed/2007 flight),Shortwave EUV observation of Sun with EUNIS (trimmed/2007 flight) (SHORTWAVE-SLIT-07) of Extreme Ultraviolet Normal-incidence Spectrograph (EUNIS),EUNIS shortwave EUV normal-incidence imaging spectrograph measuring solar extreme-ultraviolet emission lines
spectroheliograph,Evans,spectroheliograph,spectroheliograph (spectroheliograph) of Evans (Evans),Evans spectroheliograph imaging the solar chromosphere and photosphere in narrow spectral lines
FOXSI,Focusing Optics X-ray Solar Imager (flight #3: 09/07/18),Focusing Optics X-ray Solar Imager,Focusing Optics X-ray Solar Imager (FOXSI) of Focusing Optics X-ray Solar Imager (flight #3: 09/07/18) (FOXSI3),FOXSI sounding rocket focusing hard X-ray solar imager measuring solar flare X-ray emission
FOXSI,Focusing Optics X-ray Solar Imager (flight #3: 09/07/18),Focusing Optics X-ray Solar Imager,Focusing Optics X-ray Solar Imager (FOXSI) of Focusing Optics X-ray Solar Imager (flight #3: 09/07/18) (FOXSI3),FOXSI sounding rocket focusing hard X-ray solar imager measuring solar flare X-ray emission
FOXSI,Focusing Optics X-ray Solar Imager (flight #3: 09/07/18),Focusing Optics X-ray Solar Imager,Focusing Optics X-ray Solar Imager (FOXSI) of Focusing Optics X-ray Solar Imager (flight #3: 09/07/18) (FOXSI3),FOXSI sounding rocket focusing hard X-ray solar imager measuring solar flare X-ray emission
PHOENIX,Focusing Optics X-ray Solar Imager (flight #3: 09/07/18),PHOENIX detector on flight #3 of FOXSI,PHOENIX detector on flight #3 of FOXSI (PHOENIX) of Focusing Optics X-ray Solar Imager (flight #3: 09/07/18) (FOXSI3),FOXSI-3 PHOENIX hard X-ray pixel detector measuring focused solar flare X-ray photons
SXI-0,Geosyncronous Operational Environmental Satellite - 12,GOES-12 Solar X-ray Imager,GOES-12 Solar X-ray Imager (SXI-0) of Geosyncronous Operational Environmental Satellite - 12 (GOES-12),GOES-12 SXI soft X-ray solar imager providing full-disk coronal images and flare morphology measurements
SUVI,Geostationary Operational Environmental Satellite (GOES-R) Series 16,GOES-R Series Solar Ultraviolet Imager,GOES-R Series Solar Ultraviolet Imager (SUVI) of Geostationary Operational Environmental Satellite (GOES-R) Series 16 (GOES16),GOES-16 SUVI solar EUV imager observing the full-disk solar atmosphere and corona in multiple ultraviolet passbands
SUVI,Geostationary Operational Environmental Satellite (GOES-R) Series 16,GOES-R Series Solar Ultraviolet Imager,GOES-R Series Solar Ultraviolet Imager (SUVI) of Geostationary Operational Environmental Satellite (GOES-R) Series 16 (GOES16),GOES-16 SUVI solar EUV imager observing the full-disk solar atmosphere and corona in multiple ultraviolet passbands
Big Bear,Global Oscillations Network Group,Big Bear,Big Bear (Big Bear) of Global Oscillations Network Group (GONG),GONG Big Bear solar H-alpha and white-light imager for helioseismology and full-disk solar observations
Cerro Tololo,Global Oscillations Network Group,Cerro Tololo,Cerro Tololo (Cerro Tololo) of Global Oscillations Network Group (GONG),GONG Cerro Tololo solar Doppler velocity imager measuring photospheric oscillations and line-of-sight magnetic fields
El Teide,Global Oscillations Network Group,El Teide,El Teide (El Teide) of Global Oscillations Network Group (GONG),GONG El Teide solar Doppler velocity imager measuring helioseismic oscillations and photospheric magnetic fields
Learmonth,Global Oscillations Network Group,Learmonth,Learmonth (Learmonth) of Global Oscillations Network Group (GONG),GONG Learmonth solar H-alpha full-disk imager and helioseismology Doppler magnetograph measuring photospheric velocity and magnetic fields
MERGED GONG,Global Oscillations Network Group,MERGED GONG,MERGED GONG (MERGED GONG) of Global Oscillations Network Group (GONG),GONG merged full-disk Doppler imager measuring solar photospheric velocity and magnetic field oscillations
